,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
97,Memories,"Maroon 5",944027,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
98,"death bed (coffee for your head)",Powfu,940870,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
99,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",940076,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
100,"Follow You","Imagine Dragons",939127,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
101,"Adore You","Harry Styles",932673,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
102,SugarCrash!,ElyOtto,924732,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
103,"Take Me To Church",Hozier,924676,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
104,"Say You Won't Let Go","James Arthur",915155,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
105,"bad guy","Billie Eilish",910191,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
106,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",907166,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
107,HOLIDAY,"Lil Nas X",905521,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
108,goosebumps,"Travis Scott",903042,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
109,"Lucid Dreams","Juice WRLD",901119,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
110,"Film out",BTS,896506,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
111,"TE MUDASTE","Bad Bunny",892798,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
112,"Shape of You","Ed Sheeran",885701,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
113,"Love Story (Taylor’s Version)","Taylor Swift",880401,https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx
